sample_index,sample_id,episode_id,region,timestep_index,timestep,sigma,noise_seed,swapped_action_count,noop_count,noop_fraction,loss_correct,loss_wrong,delta
23,my_way_home_episode_0018_clip_000023,episode_0018,early,100,964,0.9643239974975586,113,8,8,0.5,0.1122376099228859,0.13189390301704407,0.019656293094158173
23,my_way_home_episode_0018_clip_000023,episode_0018,middle,500,750,0.7503747940063477,114,8,8,0.5,0.05589445307850838,0.07238228619098663,0.016487833112478256
23,my_way_home_episode_0018_clip_000023,episode_0018,late,900,251,0.251872181892395,115,8,8,0.5,0.16121239960193634,0.18021906912326813,0.019006669521331787
24,my_way_home_episode_0032_clip_000028,episode_0032,early,100,964,0.9643239974975586,116,8,0,0.0,0.14079010486602783,0.19679836928844452,0.05600826442241669
24,my_way_home_episode_0032_clip_000028,episode_0032,middle,500,750,0.7503747940063477,117,8,0,0.0,0.05103251710534096,0.11856971681118011,0.06753719970583916
24,my_way_home_episode_0032_clip_000028,episode_0032,late,900,251,0.251872181892395,118,8,0,0.0,0.08514951169490814,0.09015561640262604,0.0050061047077178955
25,my_way_home_episode_0005_clip_000043,episode_0005,early,100,964,0.9643239974975586,119,5,2,0.125,0.1867551952600479,0.18250231444835663,-0.004252880811691284
25,my_way_home_episode_0005_clip_000043,episode_0005,middle,500,750,0.7503747940063477,120,5,2,0.125,0.11299432069063187,0.11377271264791489,0.00077839195728302
25,my_way_home_episode_0005_clip_000043,episode_0005,late,900,251,0.251872181892395,121,5,2,0.125,0.25210461020469666,0.2532706558704376,0.0011660456657409668
26,my_way_home_episode_0050_clip_000037,episode_0050,early,100,964,0.9643239974975586,122,16,0,0.0,0.23716123402118683,0.31921759247779846,0.08205635845661163
26,my_way_home_episode_0050_clip_000037,episode_0050,middle,500,750,0.7503747940063477,123,16,0,0.0,0.0630854070186615,0.08644873648881912,0.023363329470157623
26,my_way_home_episode_0050_clip_000037,episode_0050,late,900,251,0.251872181892395,124,16,0,0.0,0.10559112578630447,0.10981498658657074,0.004223860800266266
27,my_way_home_episode_0013_clip_000006,episode_0013,early,100,964,0.9643239974975586,125,13,3,0.1875,0.22921879589557648,0.4519168436527252,0.22269804775714874
27,my_way_home_episode_0013_clip_000006,episode_0013,middle,500,750,0.7503747940063477,126,13,3,0.1875,0.08780975639820099,0.08885826915502548,0.0010485127568244934
27,my_way_home_episode_0013_clip_000006,episode_0013,late,900,251,0.251872181892395,127,13,3,0.1875,0.20110934972763062,0.20153291523456573,0.00042356550693511963
28,my_way_home_episode_0029_clip_000006,episode_0029,early,100,964,0.9643239974975586,128,11,0,0.0,0.2799876928329468,0.275497168302536,-0.004490524530410767
28,my_way_home_episode_0029_clip_000006,episode_0029,middle,500,750,0.7503747940063477,129,11,0,0.0,0.10560739785432816,0.10810835659503937,0.002500958740711212
28,my_way_home_episode_0029_clip_000006,episode_0029,late,900,251,0.251872181892395,130,11,0,0.0,0.12552163004875183,0.12669913470745087,0.0011775046586990356
29,my_way_home_episode_0030_clip_000048,episode_0030,early,100,964,0.9643239974975586,131,8,8,0.5,0.20221544802188873,0.22594480216503143,0.0237293541431427
29,my_way_home_episode_0030_clip_000048,episode_0030,middle,500,750,0.7503747940063477,132,8,8,0.5,0.0636281743645668,0.06360414624214172,-2.4028122425079346e-05
29,my_way_home_episode_0030_clip_000048,episode_0030,late,900,251,0.251872181892395,133,8,8,0.5,0.11720792204141617,0.1206749752163887,0.003467053174972534
30,my_way_home_episode_0003_clip_000028,episode_0003,early,100,964,0.9643239974975586,134,12,0,0.0,0.1969660371541977,0.20070110261440277,0.003735065460205078
30,my_way_home_episode_0003_clip_000028,episode_0003,middle,500,750,0.7503747940063477,135,12,0,0.0,0.07687050104141235,0.08149280399084091,0.004622302949428558
30,my_way_home_episode_0003_clip_000028,episode_0003,late,900,251,0.251872181892395,136,12,0,0.0,0.19195789098739624,0.19367970526218414,0.0017218142747879028
31,my_way_home_episode_0022_clip_000055,episode_0022,early,100,964,0.9643239974975586,137,9,0,0.0,0.28549423813819885,0.3059157431125641,0.020421504974365234
31,my_way_home_episode_0022_clip_000055,episode_0022,middle,500,750,0.7503747940063477,138,9,0,0.0,0.07495342940092087,0.08452748507261276,0.009574055671691895
31,my_way_home_episode_0022_clip_000055,episode_0022,late,900,251,0.251872181892395,139,9,0,0.0,0.11107851564884186,0.11103156954050064,-4.694610834121704e-05
32,my_way_home_episode_0019_clip_000023,episode_0019,early,100,964,0.9643239974975586,140,7,4,0.25,0.15332689881324768,0.15090268850326538,-0.0024242103099823
32,my_way_home_episode_0019_clip_000023,episode_0019,middle,500,750,0.7503747940063477,141,7,4,0.25,0.08991528302431107,0.09407670795917511,0.004161424934864044
32,my_way_home_episode_0019_clip_000023,episode_0019,late,900,251,0.251872181892395,142,7,4,0.25,0.11140044778585434,0.1129777804017067,0.001577332615852356
33,my_way_home_episode_0000_clip_000038,episode_0000,early,100,964,0.9643239974975586,143,15,1,0.0625,0.18705855309963226,0.18809789419174194,0.0010393410921096802
33,my_way_home_episode_0000_clip_000038,episode_0000,middle,500,750,0.7503747940063477,144,15,1,0.0625,0.0960986390709877,0.11441586166620255,0.018317222595214844
33,my_way_home_episode_0000_clip_000038,episode_0000,late,900,251,0.251872181892395,145,15,1,0.0625,0.1435510218143463,0.14772942662239075,0.004178404808044434
34,my_way_home_episode_0011_clip_000020,episode_0011,early,100,964,0.9643239974975586,146,11,5,0.3125,0.18297936022281647,0.17191335558891296,-0.011066004633903503
34,my_way_home_episode_0011_clip_000020,episode_0011,middle,500,750,0.7503747940063477,147,11,5,0.3125,0.07221976667642593,0.08209189027547836,0.00987212359905243
34,my_way_home_episode_0011_clip_000020,episode_0011,late,900,251,0.251872181892395,148,11,5,0.3125,0.17049166560173035,0.1705954223871231,0.00010375678539276123
35,my_way_home_episode_0038_clip_000050,episode_0038,early,100,964,0.9643239974975586,149,7,0,0.0,0.16255490481853485,0.16315022110939026,0.0005953162908554077
35,my_way_home_episode_0038_clip_000050,episode_0038,middle,500,750,0.7503747940063477,150,7,0,0.0,0.13497237861156464,0.13729161024093628,0.002319231629371643
35,my_way_home_episode_0038_clip_000050,episode_0038,late,900,251,0.251872181892395,151,7,0,0.0,0.1922576129436493,0.19491097331047058,0.002653360366821289
36,my_way_home_episode_0046_clip_000052,episode_0046,early,100,964,0.9643239974975586,152,16,0,0.0,0.16652946174144745,0.24717357754707336,0.08064411580562592
36,my_way_home_episode_0046_clip_000052,episode_0046,middle,500,750,0.7503747940063477,153,16,0,0.0,0.1527220904827118,0.14847412705421448,-0.0042479634284973145
36,my_way_home_episode_0046_clip_000052,episode_0046,late,900,251,0.251872181892395,154,16,0,0.0,0.2522065341472626,0.2531142830848694,0.0009077489376068115
37,my_way_home_episode_0033_clip_000058,episode_0033,early,100,964,0.9643239974975586,155,12,1,0.0625,0.18597382307052612,0.2436404973268509,0.05766667425632477
37,my_way_home_episode_0033_clip_000058,episode_0033,middle,500,750,0.7503747940063477,156,12,1,0.0625,0.07767350971698761,0.11798781901597977,0.04031430929899216
37,my_way_home_episode_0033_clip_000058,episode_0033,late,900,251,0.251872181892395,157,12,1,0.0625,0.11844794452190399,0.12576161324977875,0.007313668727874756
39,my_way_home_episode_0021_clip_000025,episode_0021,early,100,964,0.9643239974975586,161,16,0,0.0,0.16228005290031433,0.18677009642124176,0.02449004352092743
39,my_way_home_episode_0021_clip_000025,episode_0021,middle,500,750,0.7503747940063477,162,16,0,0.0,0.13464687764644623,0.15810221433639526,0.023455336689949036
39,my_way_home_episode_0021_clip_000025,episode_0021,late,900,251,0.251872181892395,163,16,0,0.0,0.27177196741104126,0.29737719893455505,0.025605231523513794
40,my_way_home_episode_0023_clip_000009,episode_0023,early,100,964,0.9643239974975586,164,6,0,0.0,0.07552023231983185,0.08746092021465302,0.011940687894821167
40,my_way_home_episode_0023_clip_000009,episode_0023,middle,500,750,0.7503747940063477,165,6,0,0.0,0.0808042660355568,0.0822986364364624,0.0014943704009056091
40,my_way_home_episode_0023_clip_000009,episode_0023,late,900,251,0.251872181892395,166,6,0,0.0,0.30185991525650024,0.30309030413627625,0.001230388879776001
41,my_way_home_episode_0016_clip_000059,episode_0016,early,100,964,0.9643239974975586,167,9,7,0.4375,0.16079208254814148,0.14803285896778107,-0.012759223580360413
41,my_way_home_episode_0016_clip_000059,episode_0016,middle,500,750,0.7503747940063477,168,9,7,0.4375,0.08374219387769699,0.08752843737602234,0.003786243498325348
41,my_way_home_episode_0016_clip_000059,episode_0016,late,900,251,0.251872181892395,169,9,7,0.4375,0.20174476504325867,0.2029581516981125,0.0012133866548538208
42,my_way_home_episode_0042_clip_000052,episode_0042,early,100,964,0.9643239974975586,170,16,0,0.0,0.13692541420459747,0.1794806569814682,0.04255524277687073
42,my_way_home_episode_0042_clip_000052,episode_0042,middle,500,750,0.7503747940063477,171,16,0,0.0,0.07146403193473816,0.09246817976236343,0.021004147827625275
42,my_way_home_episode_0042_clip_000052,episode_0042,late,900,251,0.251872181892395,172,16,0,0.0,0.1950816810131073,0.21103717386722565,0.015955492854118347
43,my_way_home_episode_0045_clip_000042,episode_0045,early,100,964,0.9643239974975586,173,11,5,0.3125,0.16089829802513123,0.20392724871635437,0.043028950691223145
43,my_way_home_episode_0045_clip_000042,episode_0045,middle,500,750,0.7503747940063477,174,11,5,0.3125,0.07736863940954208,0.10460440069437027,0.027235761284828186
43,my_way_home_episode_0045_clip_000042,episode_0045,late,900,251,0.251872181892395,175,11,5,0.3125,0.1615159809589386,0.16918131709098816,0.0076653361320495605
44,my_way_home_episode_0037_clip_000019,episode_0037,early,100,964,0.9643239974975586,176,12,0,0.0,0.15484505891799927,0.17804022133350372,0.023195162415504456
44,my_way_home_episode_0037_clip_000019,episode_0037,middle,500,750,0.7503747940063477,177,12,0,0.0,0.07394511997699738,0.1383713334798813,0.06442621350288391
44,my_way_home_episode_0037_clip_000019,episode_0037,late,900,251,0.251872181892395,178,12,0,0.0,0.1054016724228859,0.11368229240179062,0.008280619978904724
45,my_way_home_episode_0027_clip_000047,episode_0027,early,100,964,0.9643239974975586,179,7,9,0.5625,0.16972316801548004,0.18154016137123108,0.011816993355751038
45,my_way_home_episode_0027_clip_000047,episode_0027,middle,500,750,0.7503747940063477,180,7,9,0.5625,0.0799361988902092,0.09774719178676605,0.017810992896556854
45,my_way_home_episode_0027_clip_000047,episode_0027,late,900,251,0.251872181892395,181,7,9,0.5625,0.20412690937519073,0.20789317786693573,0.003766268491744995
46,my_way_home_episode_0026_clip_000027,episode_0026,early,100,964,0.9643239974975586,182,9,7,0.4375,0.1871282011270523,0.1998949497938156,0.012766748666763306
46,my_way_home_episode_0026_clip_000027,episode_0026,middle,500,750,0.7503747940063477,183,9,7,0.4375,0.04803836718201637,0.05520393326878548,0.007165566086769104
46,my_way_home_episode_0026_clip_000027,episode_0026,late,900,251,0.251872181892395,184,9,7,0.4375,0.09880056232213974,0.10231999307870865,0.0035194307565689087
47,my_way_home_episode_0009_clip_000050,episode_0009,early,100,964,0.9643239974975586,185,8,0,0.0,0.18266509473323822,0.29969245195388794,0.11702735722064972
47,my_way_home_episode_0009_clip_000050,episode_0009,middle,500,750,0.7503747940063477,186,8,0,0.0,0.09396720677614212,0.10128720104694366,0.007319994270801544
47,my_way_home_episode_0009_clip_000050,episode_0009,late,900,251,0.251872181892395,187,8,0,0.0,0.1819179207086563,0.18339034914970398,0.0014724284410476685
48,my_way_home_episode_0012_clip_000016,episode_0012,early,100,964,0.9643239974975586,188,6,10,0.625,0.13335363566875458,0.17024222016334534,0.03688858449459076
48,my_way_home_episode_0012_clip_000016,episode_0012,middle,500,750,0.7503747940063477,189,6,10,0.625,0.08881156891584396,0.09126978367567062,0.00245821475982666
48,my_way_home_episode_0012_clip_000016,episode_0012,late,900,251,0.251872181892395,190,6,10,0.625,0.20292319357395172,0.20441322028636932,0.0014900267124176025
49,my_way_home_episode_0010_clip_000014,episode_0010,early,100,964,0.9643239974975586,191,16,0,0.0,0.077024444937706,0.09417327493429184,0.017148829996585846
49,my_way_home_episode_0010_clip_000014,episode_0010,middle,500,750,0.7503747940063477,192,16,0,0.0,0.061750832945108414,0.09319987893104553,0.03144904598593712
49,my_way_home_episode_0010_clip_000014,episode_0010,late,900,251,0.251872181892395,193,16,0,0.0,0.16032257676124573,0.17136503756046295,0.011042460799217224
50,my_way_home_episode_0036_clip_000011,episode_0036,early,100,964,0.9643239974975586,194,1,4,0.25,0.23238278925418854,0.23528426885604858,0.0029014796018600464
50,my_way_home_episode_0036_clip_000011,episode_0036,middle,500,750,0.7503747940063477,195,1,4,0.25,0.028645943850278854,0.034260671585798264,0.005614727735519409
