state,seed,transition,transition_index,original_signed_horizontal_flow,reversed_signed_horizontal_flow,expected_left_right_reversal
A,42,O1->O2,1,-2.7600973991378845,-0.4842644150348794,False
A,42,O2->O3,2,-3.5749207511898,0.7878393835658878,False
A,42,O3->O4,3,4.646378541038952,1.4258264525164095,False
A,42,O4->O5,4,-0.09572952896186396,1.2493951395155498,False
A,43,O1->O2,1,6.917598923607996,-1.0115732889598386,True
A,43,O2->O3,2,-0.7786815263704889,1.1276130283882768,False
A,43,O3->O4,3,1.66806004805525,0.5845281102569584,False
A,43,O4->O5,4,-3.938355352392172,0.6966281942263544,False
A,44,O1->O2,1,9.02396778949662,3.133224860237818,False
A,44,O2->O3,2,6.050303896883081,2.8600030791359474,False
A,44,O3->O4,3,6.672430303611652,2.745851125770187,False
A,44,O4->O5,4,1.6898854897275177,2.8842403708000615,False
B,42,O1->O2,1,2.92967900972709,1.9684281183223218,False
B,42,O2->O3,2,1.4950526304157419,1.4403182041965268,False
B,42,O3->O4,3,0.9288055696425447,1.6237290134178881,False
B,42,O4->O5,4,-0.19709560904744708,1.9732607185893238,False
B,43,O1->O2,1,3.9754565863494906,-6.388799699018258,True
B,43,O2->O3,2,0.8539952130819947,-1.455741971778234,True
B,43,O3->O4,3,1.7991204276269397,1.1329201259882082,False
B,43,O4->O5,4,-0.3416435808452343,2.3478183137499626,False
B,44,O1->O2,1,1.0105763021866077,0.37947755996944865,False
B,44,O2->O3,2,0.009328524136566893,0.1221609285013192,False
B,44,O3->O4,3,0.3230223641243572,0.05897595822420647,False
B,44,O4->O5,4,0.0140064366566094,0.21762310669911739,False
C,42,O1->O2,1,0.1479535476023862,0.11338470504631953,False
C,42,O2->O3,2,0.2034683112295996,0.21940472453481527,False
C,42,O3->O4,3,0.3458208653973834,0.29616898445088635,False
C,42,O4->O5,4,-0.050376470556634356,0.18845701107187715,False
C,43,O1->O2,1,0.02188902541730073,-0.4294332250925352,True
C,43,O2->O3,2,-0.09421424580679773,0.326307317342221,False
C,43,O3->O4,3,0.7424082276780638,0.6158146386852671,False
C,43,O4->O5,4,0.017921552190559274,0.566937776970804,False
C,44,O1->O2,1,0.030119195821013644,-0.15289510913494578,True
C,44,O2->O3,2,0.07007495692739442,-0.1800466316882985,True
C,44,O3->O4,3,0.17223812651892967,-0.026457149077359632,True
C,44,O4->O5,4,0.013582310194006098,-0.09196792224006092,True
D,42,O1->O2,1,7.965899041773783,-5.029137953232515,True
D,42,O2->O3,2,3.062881377576732,-0.3423068763068589,True
D,42,O3->O4,3,1.8659248909320703,-1.0829989814656786,True
D,42,O4->O5,4,-3.6406326015709936,-1.31513914778795,False
D,43,O1->O2,1,9.574679263874017,-9.205405210337283,True
D,43,O2->O3,2,5.922671039757116,-3.5688988607613727,True
D,43,O3->O4,3,5.490452176951136,-1.1867816643166393,True
D,43,O4->O5,4,-3.851569567179743,2.025490136964454,False
D,44,O1->O2,1,9.612783277287791,-5.101302812351439,True
D,44,O2->O3,2,4.597469751189273,0.5231303281395138,False
D,44,O3->O4,3,5.548650658696668,0.8518762267013268,False
D,44,O4->O5,4,2.9962836189548785,0.30159608543449823,False
